episode,reward,loss,epsilon,total_steps
0,-55.41401273885424,0.16185368987949794,0.9128799999999666,1000
1,-55.9322033898313,0.1420503721231071,0.8228799999999321,2000
2,-52.380952380953104,0.13818246756578445,0.7328799999998976,3000
3,-52.55474452554824,0.13638922761351568,0.6428799999998631,4000
4,-60.00000000000083,0.139059437281423,0.5528799999998286,5000
5,-52.53164556962111,0.1267173368275835,0.46287999999981705,6000
6,-55.1820728291325,0.11532118126004934,0.37287999999983806,7000
7,-14.191419141914265,0.14015287140101282,0.2828799999998591,8000
8,-52.21843003413032,0.1439988519710314,0.19287999999986247,9000
9,-116.13797468354419,0.15436020882246296,0.12699999999985753,9732
10,-107.46119402985113,1.2980699847415549,0.1,10330
11,58.27338129496274,2.648398892121506,0.1,11330
12,-170.88135593220363,2.5008375628265838,0.1,12311
13,-20.415224913495475,1.935539112043567,0.1,13311
14,-27.152317880795504,1.4254948585764504,0.1,14311
15,83.52059925094102,0.7900010657852982,0.1,15311
16,5.350996015939927,1.92103523140228,0.1,16131
17,-26.82926829268374,1.4594117524332832,0.1,17131
18,-22.5806451612911,1.792809819923714,0.1,18131
19,-52.54237288135672,0.9121129986662417,0.1,19131
20,17.857142857144353,0.8504895540061407,0.1,20131
21,-3.114186851212055,0.6315161090260372,0.1,21131
22,-25.266903914591534,1.3013380686803722,0.1,22131
23,175.51020408163325,1.547598923514597,0.1,23131
24,38.18181818182122,0.9782571157645434,0.1,24131
25,-1.0238907849828192,0.856903258529026,0.1,25131
26,-32.038834951457076,1.1987584724663756,0.1,26131
27,-36.36363636363713,1.182815944374539,0.1,27131
28,-32.258064516129735,0.4588802597685717,0.1,28131
29,21.897101449276278,1.880848842500435,0.1,28471
30,-25.373134328359004,1.3713611089666373,0.1,29471
31,25.448028673835395,0.9423850918421521,0.1,30471
32,-26.421404682275035,1.066115679663606,0.1,31471
33,-39.93993993994072,0.6007175857843832,0.1,32471
34,-70.08421052631371,2.0808705155095906,0.1,33436
35,-28.81355932203469,1.2477140609975905,0.1,34436
36,47.72727272727629,0.627240554979071,0.1,35436
37,62.629757785471654,1.3333345432514325,0.1,36436
38,-32.692307692308475,0.7658284755330533,0.1,37436
39,-32.203389830509295,1.5045109515804798,0.1,38436
40,-25.266903914591534,0.9178430957626551,0.1,39436
41,-31.27147766323102,1.1667166274059564,0.1,40436
42,5.516975765118559e-13,0.5369329689480364,0.1,41436
43,-11.949685534591572,1.439190456563607,0.1,42436
44,73.07692307692781,1.622631281422451,0.1,43436
45,-34.32835820895598,1.0829153482504188,0.1,44436
46,111.32075471698576,0.8183426463324577,0.1,45436
47,48.387096774196586,0.6850908421762287,0.1,46436
48,50.81967213115135,1.6280710115358235,0.1,47436
49,137.34177215190365,0.9280299846045673,0.1,48436
50,136.74911660777815,1.0237759363558143,0.1,49436
51,6.761565836299029,1.2057114645093678,0.1,50436
52,64.33566433566388,1.168049410328269,0.1,51436
53,18.32061068702364,1.4704112835153937,0.1,52436
54,142.03821656051426,1.0409315882641823,0.1,53436
55,9.634551495017533,1.2868113915082067,0.1,54436
56,110.11673151750989,1.6515301722679288,0.1,55436
57,229.30513595166596,0.5613030924480409,0.1,56436
58,-27.419354838710493,1.3902985731437802,0.1,57436
59,349.99999999999267,1.3667802574019878,0.1,58436
60,22.22222222222254,1.2860671875029803,0.1,59436
61,-35.36121673003872,0.7430332906320691,0.1,60436
62,148.32214765101128,1.084867139481008,0.1,61436
63,432.6086956521662,1.1075751749947667,0.1,62436
64,19.873817034701602,1.1975029470846057,0.1,63436
65,36.53136531365573,1.0533847526051103,0.1,64436
66,205.14705882353402,0.7511214655376971,0.1,65436
67,136.93379790941228,0.7052255272828043,0.1,66436
68,116.21621621622111,0.7788614621832967,0.1,67436
69,8.949416342413391,1.073688829716295,0.1,68436
70,88.4615384615413,1.6257907756455243,0.1,69436
71,284.08304498269587,1.2458132684677838,0.1,70436
72,53.84615384615404,0.821573704995215,0.1,71436
73,253.12499999999469,0.7882326878160238,0.1,72436
74,268.4210526315792,0.8884823590554297,0.1,73436
75,369.17808219177635,0.7512189876362682,0.1,74436
76,75.37313432836262,1.2749694384448231,0.1,75436
77,395.9349593495918,2.063559204954654,0.1,76436
78,182.22996515679858,2.4263300357311963,0.1,77436
79,434.0501792114659,1.563554391205311,0.1,78436
80,295.3488372092985,1.0462701740413904,0.1,79436
81,275.4152823920285,1.3005046982318162,0.1,80436
82,346.0966542750889,1.051487995132804,0.1,81436
83,457.0469798657668,2.047599108234048,0.1,82436
84,777.4703557312172,1.7423216089382767,0.1,83436
85,497.12230215826906,1.9497837526872754,0.1,84436
86,421.12676056337165,1.6363626887351275,0.1,85436
87,619.2982456140223,1.1619815195649863,0.1,86436
88,677.3851590105878,1.3198484668061137,0.1,87436
89,603.4482758620569,1.5638255261331797,0.1,88436
90,482.1428571428476,1.5887945523560048,0.1,89436
91,666.1016949152447,1.411053000599146,0.1,90436
92,20.27491408934626,1.6862051844149828,0.1,91436
93,455.5555555555454,1.325482557490468,0.1,92436
94,-4.024767801858534,1.6987315884232521,0.1,93436
95,441.7956656346702,1.6433418233692647,0.1,94436
96,45.32871972318516,1.3161179763525725,0.1,95436
97,598.1981981981911,2.261262134820223,0.1,96436
98,385.8156028368759,1.548141765154898,0.1,97436
99,70.49180327869114,1.849767208904028,0.1,98436
100,435.7142857142816,1.8051314224004746,0.1,99436
101,690.7801418439637,1.7832372611314058,0.1,100436
102,488.6524822694961,2.5660089433044195,0.1,101436
103,554.1095890410875,1.524570281997323,0.1,102436
104,730.3886925794961,2.5792203658670187,0.1,103436
105,787.4999999999864,1.9611842616796493,0.1,104436
106,615.355805243435,1.8175125383138657,0.1,105436
107,463.51791530943837,2.8339705899506806,0.1,106436
108,542.1404682274169,1.8511572044491769,0.1,107436
109,338.70967741935044,2.8788691892921925,0.1,108436
110,568.8102893890556,2.378893710181117,0.1,109436
111,412.6582278480966,2.0389988875985146,0.1,110436
112,749.9999999999869,1.9949762245118619,0.1,111436
113,560.3773584905535,2.2779388168156145,0.1,112436
114,419.9999999999932,2.9265713576972483,0.1,113436
115,526.5432098765355,2.1304619610011577,0.1,114436
116,598.7577639751426,2.227514757335186,0.1,115436
117,600.8797653958846,2.880866761982441,0.1,116436
118,620.1365187713166,2.64599107414484,0.1,117436
119,731.6151202748993,2.6062441689670086,0.1,118436
120,526.6233766233694,2.94241936904192,0.1,119436
121,683.2167832167722,2.568781958192587,0.1,120436
122,709.1603053435015,2.4867931437194346,0.1,121436
123,554.838709677412,2.3773578180074693,0.1,122436
124,750.7462686567021,2.6767693245708943,0.1,123436
125,611.656441717784,3.049377825707197,0.1,124436
126,548.3870967741857,3.167134816288948,0.1,125436
127,459.37499999999363,2.6525032162368296,0.1,126436
128,625.4901960784184,3.181408906161785,0.1,127436
129,618.6311787072117,2.648618626832962,0.1,128436
130,634.3749999999895,2.5794835615754126,0.1,129436
131,533.9869281045652,3.334967915505171,0.1,130436
132,408.928571428562,3.204016573667526,0.1,131436
133,510.1083032490871,2.726021879374981,0.1,132436
134,332.92682926829184,3.1669637694954873,0.1,133436
135,285.0574712643688,3.148614324897528,0.1,134436
136,395.5223880596981,3.393668356567621,0.1,135436
137,559.3059936908398,3.5669980230033396,0.1,136436
138,340.6249999999957,3.1645019035339357,0.1,137436
139,250.36496350364203,2.802479791522026,0.1,138436
140,550.176678445221,2.9185937743782997,0.1,139436
141,457.1428571428516,3.585786580145359,0.1,140436
142,381.0126582278449,3.06410509377718,0.1,141436
143,502.27272727271895,3.53103215444088,0.1,142436
144,672.3880597014801,3.189589432746172,0.1,143436
145,567.8321678321596,3.402763159364462,0.1,144436
146,509.3189964157629,3.6709341406226157,0.1,145436
147,594.2675159235533,3.884693685770035,0.1,146436
148,823.0769230769085,3.721971263974905,0.1,147436
149,661.9047619047525,3.5161845721304417,0.1,148436
150,536.963696369628,3.4953208937346933,0.1,149436
151,707.692307692297,4.2565398440063,0.1,150436
152,542.0118343195186,4.28769291639328,0.1,151436
153,297.43589743589905,3.3612137537300586,0.1,152436
154,769.4029850746139,4.096222112178802,0.1,153436
155,734.7107438016448,4.362959393799305,0.1,154436
156,597.211155378481,4.0797315676808354,0.1,155436
157,488.9967637540369,4.0379052068591115,0.1,156436
158,561.1842105263052,3.786020027637482,0.1,157436
159,581.063122923579,3.7699110968708993,0.1,158436
160,734.0080971659772,3.777916121035814,0.1,159436
161,714.8148148148025,3.801898782968521,0.1,160436
162,545.8333333333238,5.045465403109789,0.1,161436
163,799.9999999999867,3.640133576154709,0.1,162436
164,681.1320754716872,3.425498652219772,0.1,163436
165,851.9999999999858,5.23088206911087,0.1,164436
166,666.1870503596988,4.172029076576233,0.1,165436
167,615.302491103195,4.151262318313122,0.1,166436
168,599.1150442477791,4.31352813655138,0.1,167436
169,891.8367346938602,3.948782598018646,0.1,168436
170,601.030927835039,4.4660495613813405,0.1,169436
171,672.727272727257,4.848964322656393,0.1,170436
172,724.5614035087578,4.837387736827135,0.1,171436
173,636.3013698630043,4.1052948543429375,0.1,172436
174,555.6886227544808,4.405596885323525,0.1,173436
175,620.5387205387088,3.790550852268934,0.1,174436
176,634.5679012345554,4.452036026835442,0.1,175436
177,600.3484320557385,4.953035421133041,0.1,176436
178,736.2369337978993,4.637072901397944,0.1,177436
179,453.69127516777417,4.3753618630170825,0.1,178436
180,603.7037037036921,4.584497474491596,0.1,179436
181,631.3915857605056,3.5002204220294955,0.1,180436
182,649.1289198606156,4.929074070751667,0.1,181436
183,648.4076433120855,5.871914529025554,0.1,182436
184,596.2457337883835,4.250580062270164,0.1,183436
185,689.1156462584952,5.260022867381573,0.1,184436
186,583.6734693877482,5.714167210996151,0.1,185436
187,671.5231788079373,5.970180557131767,0.1,186436
188,745.3608247422541,4.339699406564236,0.1,187436
189,739.0804597701053,5.576371622025967,0.1,188436
190,711.7647058823386,5.816117988020181,0.1,189436
191,754.0145985401319,4.593819216012955,0.1,190436
192,676.173285198545,3.9635236579179765,0.1,191436
193,757.1428571428462,5.569673508524895,0.1,192436
194,643.2432432432312,5.279118551671505,0.1,193436
195,586.8327402135136,4.401923290014267,0.1,194436
196,763.4812286689265,4.589632440686226,0.1,195436
197,772.4279835390829,7.035149870872497,0.1,196436
198,808.127208480551,5.577964701235294,0.1,197436
199,510.56105610560155,5.1853769176602365,0.1,198436
